,Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
2266,"GLIMM, TILMANN",855,12,10,13,10
2267,"GLOBERMAN, STEVEN",NA,NA,NA,NA,NA
2268,"GLOSS, LISA",NA,NA,NA,NA,NA
2269,"GOEBEL, BRUCE",NA,NA,NA,NA,NA
2270,"GOFF, SARA",NA,NA,NA,NA,NA
2271,"GOGROF, ANDREA",NA,NA,NA,NA,NA
2272,"GOMEZ GIRALDO, NELSON",NA,NA,NA,NA,NA
2273,"GONZALEZ, ELOY",NA,NA,NA,NA,NA
2274,"GOODENBERGER, MARK",NA,NA,NA,NA,NA
2275,"GOODNOW, JASMINE",NA,NA,NA,NA,NA
2276,"GOODVIN, REBECCA",NA,NA,NA,NA,NA
2277,"GOODVIN, REBECCA",NA,NA,NA,NA,NA
2278,"GOOKIN, KAREN",NA,NA,NA,NA,NA
2279,"GOOKIN, LARRY",NA,NA,NA,NA,NA
2280,"GOOKIN, LARRY",NA,NA,NA,NA,NA
2281,"GORDILLO, LUZ-MARIA",NA,NA,NA,NA,NA
2282,"GOSEN, JOSEPH",NA,NA,NA,NA,NA
2283,"GOTO, STANFORD",NA,NA,NA,NA,NA
2284,"GOUR, PIERRE",NA,NA,NA,NA,NA
2285,"GRADY, THOMAS",NA,NA,NA,NA,NA
2286,"GRAHAM, JAMES",5460,33,19,74,33
2287,"GRAVES, JODY",NA,NA,NA,NA,NA
2288,"GREEN, GAYE",NA,NA,NA,NA,NA
2289,"GREEN, JENNIFER",NA,NA,NA,NA,NA
2290,"GREEN, JENNIFER",NA,NA,NA,NA,NA
2291,"GREEN, PAUL",NA,NA,NA,NA,NA
2292,"GREEN, PAUL",NA,NA,NA,NA,NA
2293,"GREENE, LOGAN",NA,NA,NA,NA,NA
2294,"GREENWALD, RALF",NA,NA,NA,NA,NA
2295,"GREGOIRE, YANY",NA,NA,NA,NA,NA
2296,"GRIER, COLIN",NA,NA,NA,NA,NA
2297,"GRIGAR, RUDYNE",NA,NA,NA,NA,NA
2298,"GRIMM, JEFFREY",4405,24,15,33,25
2299,"GRIMM, JEFFREY",4405,24,15,33,25
2300,"GRUMAN, DIANA",NA,NA,NA,NA,NA
2301,"GU, YI",NA,NA,NA,NA,NA
2302,"GUELKER-CONE, LESLIE",NA,NA,NA,NA,NA
2303,"GUESS, CAROL",NA,NA,NA,NA,NA
2304,"GUESS, CAROL",NA,NA,NA,NA,NA
2305,"GUIDO, VIRGINIA",NA,NA,NA,NA,NA
2306,"GUPTA, DIPAK",NA,NA,NA,NA,NA
2307,"GUPTA, DIPAK",NA,NA,NA,NA,NA
2308,"GUROCAK, BERAT",NA,NA,NA,NA,NA
2309,"GUROCAK, BERAT",NA,NA,NA,NA,NA
2310,"GUYETTE, CHARLOTTE",NA,NA,NA,NA,NA
2311,"GYNAN, SHAW",296,10,5,10,3
2312,"HAGEN, DANIEL",NA,NA,NA,NA,NA
2313,"HAJIMORAD, MEGHDAD",NA,NA,NA,NA,NA
2314,"HALL, RAYMOND",NA,NA,NA,NA,NA
2315,"HALOVA, MARKETA",NA,NA,NA,NA,NA
2316,"HAMBLIN, VICKI",NA,NA,NA,NA,NA
2317,"HAMILTON, BRUCE",NA,NA,NA,NA,NA
2318,"HAMMOND, JOYCE",NA,NA,NA,NA,NA
2319,"HAN, BO",NA,NA,NA,NA,NA
2320,"HANANIA, CECILE",NA,NA,NA,NA,NA
2321,"HANANIA, CECILE",NA,NA,NA,NA,NA
2322,"HANCOCK, THOMAS",NA,NA,NA,NA,NA
2323,"HANIUK, MARC",NA,NA,NA,NA,NA
2324,"HANSEN, JULIA",NA,NA,NA,NA,NA
2325,"HANSEN, SHAUN",NA,NA,NA,NA,NA
2326,"HANSEN, THOR",NA,NA,NA,NA,NA
2327,"HARBAUGH, JOHN",NA,NA,NA,NA,NA
2328,"HARBOUR, VANESSA",NA,NA,NA,NA,NA
2329,"HARDESTY, JARED",NA,NA,NA,NA,NA
2330,"HARRIS, JOHN",NA,NA,NA,NA,NA
